,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
65,-118.26,33.83,24.0,3059.0,,2064.0,629.0,3.5518,191567.0,<1H OCEAN
66,-122.41,38.16,37.0,1549.0,,863.0,275.0,2.7457,202106.0,NEAR BAY
67,-121.95,38.03,5.0,5526.0,,3207.0,1012.0,4.0767,148136.0,INLAND
68,-118.28,34.06,42.0,2472.0,,3795.0,1179.0,1.2254,160032.0,<1H OCEAN
69,-118.17,34.06,43.0,464.0,,416.0,120.0,2.475,145953.0,<1H OCEAN
70,-120.67,40.5,15.0,5343.0,,2503.0,902.0,3.5962,102603.0,INLAND
71,-122.14,37.67,37.0,3342.0,,1635.0,557.0,4.7933,193125.0,NEAR BAY
72,-119.68,36.79,16.0,1551.0,,1010.0,292.0,3.5417,77804.0,INLAND
73,-116.91,32.83,16.0,5203.0,,2515.0,862.0,4.105,170781.0,<1H OCEAN
74,-118.35,33.9,31.0,1547.0,,956.0,287.0,3.4698,240562.0,<1H OCEAN
75,-122.7,38.35,14.0,2313.0,,954.0,397.0,3.7813,164124.0,<1H OCEAN
76,-122.28,37.51,33.0,4719.0,,1980.0,757.0,6.1064,420177.39,NEAR OCEAN
77,-117.66,33.51,18.0,2626.0,,1302.0,522.0,4.0167,193408.0,<1H OCEAN
78,-118.09,33.89,42.0,991.0,,717.0,219.0,4.0926,178024.0,<1H OCEAN
79,-118.46,34.03,52.0,523.0,,317.0,130.0,2.2794,296872.05,<1H OCEAN
80,-119.15,36.29,18.0,1435.0,,657.0,254.0,2.4281,74617.0,INLAND
81,-117.91,33.87,29.0,1121.0,,762.0,276.0,2.5,195888.0,<1H OCEAN
82,-118.27,34.07,27.0,1190.0,,1795.0,422.0,1.7016,171327.0,<1H OCEAN
83,-118.27,34.04,13.0,1784.0,,2158.0,682.0,1.7038,138159.0,<1H OCEAN
84,-118.27,34.17,52.0,2010.0,,908.0,326.0,6.9135,392027.1,<1H OCEAN
85,-117.14,33.16,16.0,1660.0,,733.0,214.0,5.6874,260448.05,<1H OCEAN
86,-122.72,38.88,29.0,2781.0,,890.0,310.0,1.9906,99237.0,INLAND
87,-121.47,38.61,31.0,1072.0,,781.0,281.0,1.6563,69425.0,INLAND
88,-119.18,34.19,19.0,2393.0,,1938.0,762.0,1.6953,182531.0,NEAR OCEAN
89,-118.59,34.2,21.0,1789.0,,2300.0,677.0,2.754,181345.0,<1H OCEAN
90,-122.22,38.08,37.0,2811.0,,1574.0,516.0,3.1053,117018.0,NEAR BAY
91,-121.97,37.34,33.0,3162.0,,1553.0,686.0,3.6682,255576.0,<1H OCEAN
92,-117.14,32.71,52.0,500.0,,480.0,108.0,1.8696,113704.0,NEAR OCEAN
93,-119.75,36.71,38.0,1481.0,,1543.0,372.0,1.4577,48721.0,INLAND
94,-121.3,38.58,16.0,1537.0,,1125.0,375.0,2.6471,103918.0,INLAND
95,-117.76,34.04,34.0,1914.0,,1564.0,328.0,2.8347,118741.0,INLAND
96,-122.45,37.77,52.0,2602.0,,1330.0,647.0,3.5435,327049.07,NEAR BAY
97,-117.15,32.72,51.0,1321.0,,781.0,499.0,1.3071,172865.0,NEAR OCEAN
98,-122.08,37.88,26.0,2947.0,,825.0,626.0,2.933,127633.0,NEAR BAY
99,-117.87,33.73,45.0,2264.0,,1970.0,499.0,3.4193,176553.01,<1H OCEAN
100,-117.67,34.04,13.0,1543.0,,776.0,358.0,3.0598,112156.0,INLAND
101,-117.66,33.58,6.0,4186.0,,1794.0,541.0,9.6986,394592.17,<1H OCEAN
102,-117.27,32.85,26.0,1373.0,,608.0,268.0,4.425,316026.15,NEAR OCEAN
103,-117.02,32.66,19.0,771.0,,376.0,108.0,6.6272,280731.04,NEAR OCEAN
104,-118.05,33.99,38.0,1619.0,,886.0,357.0,3.7328,186153.0,<1H OCEAN
105,-117.92,33.87,33.0,1597.0,,1888.0,423.0,3.055,168840.01,<1H OCEAN
106,-118.31,34.09,37.0,773.0,,835.0,312.0,1.8576,218251.01,<1H OCEAN
107,-118.38,34.05,49.0,702.0,,458.0,187.0,4.8958,345908.03,<1H OCEAN
108,-121.95,37.31,27.0,4140.0,,2135.0,893.0,3.6292,262201.0,<1H OCEAN
109,-120.98,37.6,36.0,1437.0,,1073.0,320.0,2.1779,71429.0,INLAND
110,-122.28,37.78,29.0,5154.0,,3741.0,1273.0,2.5762,203675.0,NEAR BAY
111,-118.23,34.13,48.0,1308.0,,835.0,294.0,4.2891,226731.0,<1H OCEAN
112,-119.11,35.42,52.0,154.0,,37.0,16.0,10.0263,221310.04,INLAND
113,-121.89,37.44,8.0,2534.0,,1527.0,364.0,7.8532,414925.03,<1H OCEAN
114,-121.44,38.54,39.0,2855.0,,1217.0,562.0,3.2404,97475.0,INLAND
115,-118.37,34.03,37.0,1236.0,,966.0,292.0,3.0694,236068.02,<1H OCEAN
116,-118.1,33.91,36.0,726.0,,490.0,130.0,3.6389,172149.0,<1H OCEAN
117,-118.5,34.17,37.0,880.0,,369.0,155.0,4.1429,290012.0,<1H OCEAN
118,-117.96,33.78,33.0,1520.0,,658.0,242.0,4.875,216775.0,<1H OCEAN
119,-117.86,34.01,16.0,4632.0,,3038.0,727.0,5.1762,257756.0,<1H OCEAN
120,-122.79,38.48,7.0,6837.0,,3468.0,1405.0,3.1662,194057.0,<1H OCEAN
121,-118.31,33.94,40.0,1550.0,,798.0,270.0,3.775,146271.0,<1H OCEAN
122,-122.44,37.73,39.0,1912.0,,970.0,406.0,4.7813,281469.0,NEAR BAY
123,-118.32,34.09,44.0,2666.0,,2297.0,726.0,1.676,213545.0,<1H OCEAN
124,-116.93,32.79,19.0,3354.0,,1948.0,682.0,3.0192,168267.0,<1H OCEAN
125,-119.44,36.58,37.0,1054.0,,879.0,257.0,2.5234,66157.0,INLAND
126,-117.3,34.05,6.0,2155.0,,1039.0,391.0,1.6675,100223.0,INLAND
127,-118.29,33.73,30.0,3161.0,,1865.0,771.0,2.7139,219744.0,NEAR OCEAN
128,-118.4,34.17,24.0,6347.0,,2945.0,1492.0,3.3545,246199.02,<1H OCEAN
129,-119.78,36.82,25.0,5016.0,,2133.0,928.0,3.625,96915.0,INLAND
130,-117.73,34.1,37.0,3457.0,,1344.0,530.0,5.8891,251438.0,INLAND
131,-118.18,34.19,48.0,1371.0,,528.0,155.0,15.0001,499485.96,<1H OCEAN
132,-122.5,37.75,45.0,1620.0,,941.0,328.0,4.3859,275340.0,NEAR OCEAN
133,-120.32,37.29,38.0,576.0,,478.0,112.0,2.3382,75488.0,INLAND
134,-122.65,38.25,23.0,4030.0,,1852.0,778.0,3.402,201053.0,<1H OCEAN
135,-117.28,34.26,18.0,3895.0,,1086.0,375.0,3.3672,117972.0,INLAND
136,-122.16,37.77,47.0,1256.0,,570.0,218.0,4.375,177805.0,NEAR BAY
137,-119.73,34.44,38.0,1729.0,,801.0,395.0,3.1364,335253.0,NEAR OCEAN
138,-122.48,38.5,37.0,3049.0,,1287.0,439.0,4.3125,262188.0,INLAND
139,-118.88,34.17,15.0,4260.0,,1701.0,669.0,5.1033,279941.04,<1H OCEAN
140,-122.15,37.43,20.0,11709.0,,7604.0,3589.0,1.9045,295982.0,NEAR BAY
141,-117.01,32.74,31.0,3473.0,,2098.0,677.0,2.6973,139058.0,<1H OCEAN
142,-118.21,34.07,52.0,1770.0,,1848.0,439.0,2.4135,161989.0,<1H OCEAN
143,-118.36,34.05,45.0,2283.0,,1093.0,475.0,2.5658,246342.0,<1H OCEAN
144,-118.53,34.26,18.0,3674.0,,1590.0,550.0,8.176,409933.13,<1H OCEAN
145,-118.19,33.98,36.0,4179.0,,4582.0,1196.0,2.0087,166072.0,<1H OCEAN
146,-122.4,37.58,26.0,3281.0,,1145.0,480.0,6.358,479230.74,NEAR OCEAN
147,-122.38,37.73,40.0,543.0,,259.0,89.0,2.2167,208922.01,NEAR BAY
148,-121.08,39.22,30.0,2188.0,,1033.0,437.0,2.1419,104563.0,INLAND
149,-117.28,34.09,44.0,376.0,,273.0,107.0,2.2917,99651.0,INLAND
150,-118.29,34.05,34.0,1102.0,,1325.0,439.0,1.5972,179352.0,<1H OCEAN
151,-121.33,38.02,31.0,1466.0,,608.0,254.0,3.1827,145466.0,INLAND
152,-118.05,34.04,33.0,1348.0,,1098.0,257.0,4.2917,161564.0,<1H OCEAN
153,-118.16,34.01,40.0,1552.0,,1919.0,427.0,2.2596,145484.0,<1H OCEAN
154,-121.9,36.58,31.0,1431.0,,704.0,393.0,3.1977,298226.01,NEAR OCEAN
155,-117.65,33.6,15.0,5736.0,,2529.0,762.0,6.4114,278545.0,<1H OCEAN
156,-117.92,33.7,15.0,3201.0,,1510.0,622.0,4.2708,194568.0,<1H OCEAN
157,-117.87,33.83,27.0,2287.0,,1140.0,351.0,5.6163,269597.0,<1H OCEAN
158,-120.61,37.36,16.0,638.0,,380.0,132.0,1.9135,90309.99,INLAND
159,-118.25,33.95,28.0,2136.0,,1799.0,476.0,1.5427,97252.0,<1H OCEAN
160,-116.66,32.79,13.0,843.0,,918.0,152.0,6.2152,258695.04,<1H OCEAN
161,-118.07,34.1,32.0,4275.0,,2812.0,1012.0,3.3512,212066.0,<1H OCEAN
162,-118.55,34.28,16.0,8879.0,,3468.0,1200.0,8.1125,412156.03,<1H OCEAN
163,-121.85,36.61,38.0,238.0,,191.0,67.0,1.3897,187805.03,<1H OCEAN
164,-122.42,40.44,16.0,994.0,,495.0,181.0,2.1875,83115.0,INLAND
165,-119.75,34.45,6.0,2864.0,,1404.0,603.0,5.5073,283388.02,NEAR OCEAN
166,-118.8,34.41,45.0,1610.0,,1148.0,347.0,2.7,149619.0,<1H OCEAN
167,-119.3,36.57,32.0,728.0,,461.0,149.0,3.0156,102435.0,INLAND
168,-118.55,34.19,18.0,5862.0,,3161.0,1280.0,3.1106,217530.0,<1H OCEAN
169,-121.88,37.4,9.0,6751.0,,4240.0,1438.0,5.34,261164.01,<1H OCEAN
170,-121.9,37.28,26.0,3756.0,,1408.0,535.0,5.6427,306842.0,<1H OCEAN
171,-117.17,32.75,52.0,1052.0,,381.0,201.0,3.0726,308254.02,NEAR OCEAN
172,-117.2,33.24,12.0,4992.0,,2106.0,801.0,6.2079,298498.0,<1H OCEAN
173,-117.64,33.45,26.0,1528.0,,607.0,218.0,6.2871,333135.14,NEAR OCEAN
174,-122.1,40.03,25.0,2516.0,,1266.0,494.0,1.7566,59135.0,INLAND
175,-114.59,34.83,41.0,812.0,,375.0,158.0,1.7083,51263.99,INLAND
176,-122.23,38.17,45.0,350.0,,225.0,72.0,1.8942,182326.01,NEAR BAY
177,-117.31,34.25,29.0,4610.0,,1569.0,592.0,2.7663,99338.0,INLAND
178,-121.77,39.66,20.0,3759.0,,1705.0,600.0,4.712,162333.0,INLAND
179,-119.72,36.76,23.0,6403.0,,3573.0,1260.0,2.3006,79259.0,INLAND
180,-122.01,37.94,23.0,3741.0,,1339.0,499.0,6.7061,327128.0,NEAR BAY
181,-121.75,37.11,18.0,3167.0,,1414.0,482.0,6.8773,411999.0,<1H OCEAN
182,-117.02,32.78,31.0,2567.0,,1198.0,499.0,3.4659,167404.0,<1H OCEAN
183,-121.97,37.35,30.0,1955.0,,999.0,386.0,4.6328,280255.0,<1H OCEAN
184,-119.69,36.83,32.0,1098.0,,726.0,224.0,1.4913,56678.0,INLAND
185,-118.25,33.94,43.0,793.0,,736.0,231.0,0.8527,95810.0,<1H OCEAN
186,-117.97,34.06,31.0,2516.0,,2194.0,497.0,3.2413,158601.0,<1H OCEAN
187,-118.3,34.07,18.0,3759.0,,3296.0,1462.0,2.2708,203316.04,<1H OCEAN
188,-122.0,37.36,17.0,2070.0,,797.0,275.0,8.6155,431390.18,<1H OCEAN
189,-118.35,34.01,35.0,3776.0,,1583.0,749.0,3.5486,287906.01,<1H OCEAN
190,-118.2,33.92,45.0,1283.0,,1025.0,248.0,3.2798,143127.0,<1H OCEAN
191,-122.24,37.75,45.0,891.0,,384.0,146.0,4.9489,285901.02,NEAR BAY
192,-117.99,34.14,30.0,2346.0,,1988.0,474.0,2.5625,152396.0,INLAND
193,-118.22,34.05,34.0,1113.0,,928.0,290.0,3.1654,151287.0,<1H OCEAN
194,-121.19,38.71,11.0,4415.0,,1520.0,627.0,3.2321,291780.0,INLAND
195,-119.32,36.25,21.0,1231.0,,609.0,206.0,2.8365,78128.0,INLAND
196,-118.56,34.2,35.0,2273.0,,1431.0,403.0,4.0789,211891.0,<1H OCEAN
197,-116.21,33.75,22.0,894.0,,830.0,202.0,3.0673,78258.0,INLAND
198,-118.49,34.13,24.0,4394.0,,1443.0,528.0,11.2979,499285.99,<1H OCEAN
199,-118.23,33.94,36.0,1110.0,,1417.0,302.0,2.3333,104838.0,<1H OCEAN
200,-122.48,37.7,33.0,4492.0,,3477.0,1537.0,3.0546,285664.0,NEAR OCEAN
201,-117.87,33.62,8.0,1266.0,,375.0,183.0,9.802,475479.69,<1H OCEAN
202,-122.53,38.32,22.0,3577.0,,1371.0,501.0,5.795,282193.01,<1H OCEAN
203,-122.22,38.15,7.0,5129.0,,2824.0,738.0,5.5138,187374.0,NEAR BAY
204,-118.45,34.3,27.0,2676.0,,2661.0,623.0,4.3047,160807.0,<1H OCEAN
205,-122.46,37.72,39.0,2254.0,,1388.0,404.0,2.9688,237476.0,NEAR OCEAN
206,-120.98,37.66,10.0,934.0,,401.0,255.0,0.9336,124667.0,INLAND
207,-120.67,37.37,18.0,164.0,30.0,104.0,32.0,1.6607,109461.0,INLAND
208,-118.01,33.89,34.0,1653.0,292.0,1003.0,310.0,4.6,197363.0,<1H OCEAN
209,-121.97,36.97,15.0,2849.0,668.0,1546.0,582.0,2.7587,226425.0,NEAR OCEAN
210,-118.25,33.98,47.0,617.0,162.0,754.0,144.0,2.2969,118846.0,<1H OCEAN
211,-121.81,37.38,29.0,570.0,76.0,244.0,72.0,12.3292,455872.47,<1H OCEAN
212,-118.36,33.89,34.0,760.0,174.0,723.0,198.0,5.3169,282411.0,<1H OCEAN
213,-117.28,33.1,13.0,2644.0,422.0,1197.0,399.0,6.5338,286840.03,NEAR OCEAN
214,-122.25,38.1,52.0,1591.0,372.0,817.0,357.0,2.1411,103495.0,NEAR BAY
215,-118.15,34.15,49.0,806.0,199.0,698.0,172.0,2.3654,139505.0,<1H OCEAN
216,-118.27,34.08,35.0,1147.0,365.0,1016.0,296.0,2.3913,190870.0,<1H OCEAN
217,-119.31,36.39,32.0,2293.0,466.0,1538.0,468.0,1.9342,65416.0,INLAND
218,-122.07,37.39,30.0,1695.0,480.0,932.0,447.0,3.5045,316228.0,NEAR BAY
219,-118.27,34.0,46.0,1748.0,428.0,1707.0,409.0,2.148,107939.0,<1H OCEAN
220,-119.99,38.88,17.0,2807.0,529.0,675.0,251.0,2.7457,123627.0,INLAND
221,-121.2,38.7,28.0,2970.0,471.0,1379.0,463.0,4.3214,152984.0,INLAND
222,-122.42,37.74,52.0,2019.0,418.0,999.0,448.0,4.2212,274813.0,NEAR BAY
223,-117.29,34.14,52.0,1683.0,266.0,646.0,256.0,4.0481,125666.0,INLAND
224,-123.8,39.44,52.0,1533.0,336.0,754.0,340.0,1.9213,100628.0,<1H OCEAN
225,-122.7,38.35,14.0,1555.0,369.0,493.0,335.0,1.6033,103791.0,<1H OCEAN
226,-118.3,34.19,52.0,1704.0,277.0,746.0,262.0,4.7986,320119.01,<1H OCEAN
227,-116.09,34.15,13.0,9444.0,1997.0,4166.0,1482.0,2.6111,71554.0,INLAND
228,-117.7,33.62,19.0,2957.0,492.0,1639.0,495.0,5.0686,236313.0,<1H OCEAN
229,-117.23,32.74,44.0,1404.0,229.0,513.0,217.0,4.1806,304526.04,NEAR OCEAN
230,-118.45,34.0,46.0,1777.0,362.0,896.0,334.0,4.45,348097.01,<1H OCEAN
231,-118.42,34.0,33.0,1139.0,299.0,734.0,257.0,3.2708,350033.04,<1H OCEAN
232,-118.31,34.02,46.0,2217.0,489.0,1227.0,448.0,1.6851,114911.0,<1H OCEAN
233,-122.43,37.77,52.0,1760.0,366.0,742.0,318.0,4.445,391638.01,NEAR BAY
234,-121.08,38.9,27.0,3436.0,755.0,1568.0,709.0,2.4273,133035.0,INLAND
235,-119.63,36.32,36.0,1518.0,287.0,749.0,255.0,2.2333,77719.0,INLAND
236,-122.35,37.53,27.0,2169.0,305.0,905.0,319.0,7.7743,446765.03,NEAR OCEAN
237,-118.4,33.88,36.0,1543.0,214.0,474.0,187.0,9.3399,499371.98,<1H OCEAN
238,-118.29,33.92,40.0,1935.0,461.0,1616.0,433.0,2.875,128602.0,<1H OCEAN
239,-118.36,33.89,40.0,756.0,122.0,371.0,130.0,5.0299,231699.0,<1H OCEAN
240,-118.15,33.79,5.0,3700.0,993.0,1657.0,848.0,3.7826,220974.03,NEAR OCEAN
241,-117.38,33.97,30.0,2953.0,703.0,1406.0,580.0,2.6895,133037.0,INLAND
242,-118.03,34.07,37.0,1091.0,269.0,905.0,242.0,3.1042,161456.0,<1H OCEAN
243,-122.28,37.86,52.0,2031.0,450.0,958.0,445.0,1.9327,169487.0,NEAR BAY
244,-117.93,33.87,10.0,1277.0,488.0,730.0,417.0,1.4803,158405.0,<1H OCEAN
245,-118.12,33.94,33.0,2206.0,393.0,973.0,364.0,4.675,259721.0,<1H OCEAN
246,-117.18,32.7,42.0,1691.0,286.0,761.0,281.0,5.1386,407549.18,NEAR OCEAN
247,-117.01,32.81,21.0,4203.0,618.0,1620.0,600.0,5.3441,219247.0,<1H OCEAN
248,-117.15,32.78,25.0,1577.0,266.0,611.0,284.0,5.25,203591.0,NEAR OCEAN
249,-121.27,38.69,16.0,3389.0,597.0,1674.0,568.0,4.4489,146225.0,INLAND
250,-121.7,38.65,22.0,1360.0,282.0,808.0,229.0,2.4167,101459.0,INLAND
251,-122.82,38.4,40.0,2406.0,423.0,1054.0,426.0,3.8846,209980.0,<1H OCEAN
252,-118.17,34.08,39.0,787.0,181.0,731.0,179.0,3.2279,154642.0,<1H OCEAN
253,-121.79,38.0,34.0,3090.0,593.0,1588.0,566.0,3.6118,129950.0,INLAND
254,-116.15,33.64,10.0,1711.0,499.0,1896.0,443.0,1.6557,65010.0,INLAND
255,-118.91,34.28,6.0,6106.0,1134.0,3246.0,1062.0,5.2206,268795.0,<1H OCEAN
256,-118.14,34.03,45.0,1569.0,359.0,1203.0,359.0,2.4612,181292.0,<1H OCEAN
257,-117.4,34.08,21.0,3622.0,667.0,2503.0,720.0,3.8531,120465.0,INLAND
258,-118.25,33.93,36.0,2452.0,734.0,2664.0,667.0,0.9298,103112.0,<1H OCEAN
259,-117.03,32.79,17.0,7352.0,1699.0,3331.0,1634.0,2.7006,161124.0,<1H OCEAN
260,-120.43,34.89,30.0,1979.0,342.0,999.0,320.0,5.0286,171479.0,<1H OCEAN
261,-122.02,37.36,21.0,2471.0,677.0,1486.0,689.0,3.9038,257528.02,<1H OCEAN
262,-122.28,37.9,52.0,2318.0,328.0,779.0,312.0,7.1754,366393.02,NEAR BAY
263,-118.27,33.82,28.0,1642.0,434.0,1575.0,420.0,4.1292,192664.0,<1H OCEAN
264,-120.12,41.4,33.0,2820.0,515.0,976.0,403.0,2.6062,58293.0,INLAND
265,-118.39,34.05,42.0,3105.0,559.0,1253.0,531.0,5.222,481442.82,<1H OCEAN
266,-118.25,33.97,37.0,794.0,210.0,814.0,213.0,2.2917,114599.0,<1H OCEAN
267,-120.95,36.47,52.0,1691.0,301.0,618.0,239.0,3.2292,253447.04,<1H OCEAN
268,-117.25,32.99,10.0,4926.0,749.0,1478.0,634.0,7.472,407828.01,NEAR OCEAN
269,-117.31,34.05,6.0,7423.0,2111.0,4092.0,1789.0,2.7002,96681.0,INLAND
270,-122.22,37.44,32.0,4281.0,501.0,1318.0,484.0,15.0001,500001.0,NEAR OCEAN
271,-122.29,37.9,49.0,1283.0,238.0,576.0,236.0,3.3333,250501.0,NEAR BAY
272,-118.1,34.06,36.0,1463.0,369.0,1492.0,366.0,3.25,166975.0,<1H OCEAN
273,-117.99,33.9,30.0,1677.0,372.0,1021.0,332.0,3.5859,196990.0,<1H OCEAN
274,-117.04,32.74,5.0,2878.0,785.0,1727.0,758.0,1.7179,138735.0,NEAR OCEAN
275,-118.09,33.77,26.0,5359.0,1508.0,1829.0,1393.0,1.7675,107859.0,<1H OCEAN
276,-122.2,38.09,18.0,6860.0,1079.0,3205.0,1058.0,5.2957,198174.01,NEAR BAY
277,-120.76,38.47,17.0,1521.0,309.0,607.0,240.0,3.5,150371.0,INLAND
278,-117.51,34.02,24.0,7779.0,1835.0,3996.0,1765.0,2.1764,131348.0,INLAND
279,-117.3,34.18,19.0,2526.0,381.0,1176.0,381.0,5.5136,154911.0,INLAND
280,-118.18,34.08,35.0,2226.0,602.0,2230.0,549.0,2.9167,140142.0,<1H OCEAN
281,-119.0,34.19,5.0,3634.0,718.0,1317.0,743.0,4.2917,233478.0,<1H OCEAN
282,-121.35,38.4,11.0,2322.0,459.0,1373.0,424.0,3.175,101481.0,INLAND
283,-122.24,38.1,49.0,1851.0,356.0,849.0,307.0,2.9432,108988.0,NEAR BAY
284,-117.18,32.69,37.0,3112.0,716.0,1304.0,674.0,3.2121,325112.18,NEAR OCEAN
285,-119.08,34.17,32.0,166.0,22.0,63.0,29.0,7.3004,203532.12,NEAR OCEAN
286,-121.9,37.67,15.0,2130.0,273.0,876.0,285.0,7.2639,322296.0,<1H OCEAN
287,-117.65,34.02,9.0,2107.0,411.0,1138.0,389.0,4.4042,155919.0,INLAND
